| Game Title                                                                     | Discount   | Original Price   | Discounted Price   |
| Chernobylite Enhanced Edition                                                  | -55%       | $29.99           | $13.49             |
| Grim Dawn Definitive Edition                                                   | -53%       | $64.96           | $30.78             |
| Call of Duty® Franchise Collection                                             | -53%       | $1,069.60        | $501.23            |
| Dead by Daylight: Ultimate Edition                                             | -52%       | $79.97           | $38.25             |
| Hunt: Showdown - Deluxe Edition                                                | -51%       | $60.95           | $29.92             |
| Brewpub Simulator                                                              | -51%       | $27.98           | $13.84             |
| Monster Hunter World: Iceborne                                                 | -50%       | $39.99           | $19.99             |
| Call of Duty®: Vanguard                                                        | -50%       | $59.99           | $29.99             |
| Street Fighter V                                                               | -50%       | $19.99           | $9.99              |
| Call of Duty®: Modern Warfare® Remastered (2017)                               | -50%       | $39.99           | $19.99             |
| Resident Evil 7 Gold Edition & Village Gold Edition                            | -50%       | $79.99           | $39.99             |
| The Sims™ 4 Island Living                                                      | -50%       | $39.99           | $19.99             |
| MELTY BLOOD: TYPE LUMINA                                                       | -50%       | $49.99           | $24.99             |
| Monster Hunter Stories 2: Wings of Ruin                                        | -50%       | $39.99           | $19.99             |
| Out of the Park Baseball 24                                                    | -50%       | $39.99           | $19.99             |
| Detroit: Become Human                                                          | -50%       | $39.99           | $19.99             |
| Resident Evil Village                                                          | -50%       | $39.99           | $19.99             |
| Mini Metro                                                                     | -50%       | $9.99            | $4.99              |
| HITMAN 3                                                                       | -50%       | $69.99           | $34.99             |
| Capcom Fighting Collection                                                     | -50%       | $39.99           | $19.99             |
| Dying Light 2 Stay Human                                                       | -50%       | $59.99           | $29.99             |
| Sword and Fairy 7                                                              | -50%       | $29.99           | $14.99             |
| Transport & Delivery Bundle                                                    | -50%       | $35.96           | $18.07             |
| Two Point Campus                                                               | -50%       | $29.99           | $14.99             |
| Heavenly Bodies                                                                | -50%       | $19.99           | $9.99              |
| Warhammer 40,000: Chaos Gate - Daemonhunters                                   | -50%       | $44.99           | $22.49             |
| Monster Hunter: World                                                          | -50%       | $29.99           | $14.99             |
| The Sims™ 4 Get Together                                                       | -50%       | $39.99           | $19.99             |
| The Sims™ 4 Eco Lifestyle                                                      | -50%       | $39.99           | $19.99             |
| 60 Seconds! Reatomized                                                         | -50%       | $9.99            | $4.99              |
| The Sims™ 4 Get Famous                                                         | -50%       | $39.99           | $19.99             |
| The Miniverse Collection                                                       | -50%       | $19.98           | $9.98              |
| Call of Duty®: Black Ops                                                       | -50%       | $39.99           | $19.99             |
| The Sims™ 4 Discover University                                                | -50%       | $39.99           | $19.99             |
| EA SPORTS™ PGA TOUR™                                                           | -50%       | $69.99           | $34.99             |
| The Sims™ 4 Seasons                                                            | -50%       | $39.99           | $19.99             |
| The Sims™ 4 Get To Work                                                        | -50%       | $39.99           | $19.99             |
| MELTY BLOOD: TYPE LUMINA - Deluxe Edition                                      | -50%       | $69.98           | $34.98             |
| This Land Is My Land                                                           | -50%       | $29.99           | $14.99             |
| Call of Duty®: Modern Warfare® 3                                               | -50%       | $39.99           | $19.99             |
| Monster Hunter World: Iceborne Master Edition Digital Deluxe                   | -50%       | $69.97           | $34.97             |
| Monster Hunter World: Iceborne Master Edition                                  | -50%       | $59.98           | $29.98             |
| The Sims™ 4 Cottage Living Expansion Pack                                      | -50%       | $39.99           | $19.99             |
| The Sims™ 4 Cats & Dogs                                                        | -50%       | $39.99           | $19.99             |
| The Sims™ 4 City Living                                                        | -50%       | $39.99           | $19.99             |
| A Plague Tale: Requiem                                                         | -50%       | $49.99           | $24.99             |
| Intruder                                                                       | -50%       | $19.99           | $9.99              |
| Two Point Campus - Brainy Bundle                                               | -48%       | $50.96           | $26.51             |
| Hunt: Showdown - Collector's Edition                                           | -47%       | $411.55          | $217.19            |
| WWE 2K23                                                                       | -45%       | $59.99           | $32.99             |
