| Game Title                                                                           | Discount   | Original Price   | Discounted Price   |
| LEGO® MARVEL's Avengers - The Thunderbolts Character Pack                            | -50%       | $1.99            | $0.99              |
| Train Sim World® 3: US Super Bundle                                                  | -50%       | $197.93          | $98.75             |
| For The King: Lost Civilization Adventure Pack                                       | -50%       | $5.99            | $2.99              |
| Hidden Deep                                                                          | -50%       | $24.99           | $12.49             |
| Airborne Kingdom                                                                     | -50%       | $24.99           | $12.49             |
| Isonzo                                                                               | -50%       | $29.99           | $14.99             |
| Kerbal Space Program: Breaking Ground Expansion                                      | -50%       | $14.99           | $7.49              |
| The Henry Stickmin Collection                                                        | -50%       | $14.99           | $7.49              |
| Warhammer: Vermintide 2 - Shadows Over Bögenhafen                                    | -50%       | $9.99            | $4.99              |
| Chivalry 2 - Special Edition Content                                                 | -50%       | $9.99            | $4.99              |
| LEGO® Marvel Super Heroes 2 - Champions Character Pack                               | -50%       | $1.99            | $0.99              |
| Kerbal Space Program: Making History Expansion                                       | -50%       | $14.99           | $7.49              |
| Coromon                                                                              | -50%       | $19.99           | $9.99              |
| Chivalry 2 - King's Edition Content                                                  | -50%       | $9.99            | $4.99              |
| Chivalry 2 King's Edition                                                            | -50%       | $59.97           | $29.97             |
| LEGO® Bricktales                                                                     | -50%       | $29.99           | $14.99             |
| Warhammer: Vermintide 2 - Winds of Magic                                             | -50%       | $19.99           | $9.99              |
| Horrors Below Bundle                                                                 | -49%       | $77.96           | $39.40             |
| The My Time Series                                                                   | -49%       | $54.98           | $27.88             |
| Barotrauma Supporter Bundle                                                          | -47%       | $44.98           | $23.73             |
| RPG Maker MZ                                                                         | -45%       | $79.99           | $43.99             |
| Medieval Dynasty - Official Guide Edition                                            | -43%       | $60.97           | $34.47             |
| Monkey Business                                                                      | -43%       | $26.98           | $15.28             |
| Train Sim World® 3: Southeastern Timetable Enhancement Bundle                        | -43%       | $108.94          | $62.29             |
| Medieval Dynasty - Digital Supporter Edition                                         | -42%       | $42.98           | $25.14             |
| 『OCTOPATH TRAVELER II』+『VARIOUS DAYLIFE』Bundle                                   | -42%       | $88.98           | $51.78             |
| Jagged Alliance 2 - Wildfire                                                         | -40%       | $6.99            | $4.19              |
| Real Mechanic                                                                        | -40%       | $44.98           | $27.18             |
| Prison Architect - Island Bound                                                      | -40%       | $9.99            | $5.99              |
| Patch Quest                                                                          | -40%       | $14.99           | $8.99              |
| Train Simulator Classic                                                              | -40%       | $24.99           | $14.99             |
| Hooded Horse Survival City Builder                                                   | -40%       | $79.96           | $47.78             |
| Green Hell                                                                           | -40%       | $24.99           | $14.99             |
| Hell Let Loose Anniversary Edition                                                   | -39%       | $89.90           | $54.58             |
| Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle                    | -36%       | $139.97          | $89.98             |
| Classic Survival Horror Bundle                                                       | -36%       | $89.97           | $57.57             |
| Medieval Dynasty - Digital Supporter Pack                                            | -35%       | $7.99            | $5.19              |
| Against the Storm                                                                    | -35%       | $29.99           | $19.49             |
| Synth Riders                                                                         | -35%       | $24.99           | $16.24             |
| Prison Architect - Psych Ward: Warden's Edition                                      | -35%       | $5.99            | $3.89              |
| Warhammer 40,000: Darktide - Imperial Edition                                        | -35%       | $64.51           | $41.99             |
| Dinosaur Fossil Hunter                                                               | -35%       | $19.99           | $12.99             |
| Medieval Dynasty                                                                     | -35%       | $34.99           | $22.74             |
| Scars Above                                                                          | -35%       | $39.99           | $25.99             |
| Warhammer 40,000: Darktide - Imperial Edition                                        | -35%       | $64.51           | $41.99             |
| Endzone - A World Apart: Prosperity                                                  | -35%       | $9.99            | $6.49              |
| Medieval Dynasty - Official Guide                                                    | -35%       | $17.99           | $11.69             |
| Cafe Owner Simulator                                                                 | -35%       | $18.99           | $12.34             |
| Urbek City Builder                                                                   | -35%       | $18.99           | $12.34             |
| Hell Let Loose                                                                       | -35%       | $44.99           | $29.24             |
| Symphony of War: The Nephilim Saga                                                   | -33%       | $19.99           | $13.39             |
| Noble Fates                                                                          | -33%       | $24.99           | $16.74             |
| Vampyr - The Hunters Heirlooms DLC                                                   | -33%       | $2.99            | $2.00              |
| Synth Riders - Complete Collection                                                   | -30%       | $140.40          | $98.59             |
| Pile Up!                                                                             | -30%       | $9.99            | $6.99              |
| Super Mega Baseball™ 4                                                               | -30%       | $49.99           | $34.99             |
| Warhammer 40,000: Darktide                                                           | -30%       | $39.99           | $27.99             |
| All-In-One Sports VR                                                                 | -30%       | $19.99           | $13.99             |
| Prison Architect - Going Green                                                       | -30%       | $9.99            | $6.99              |
| Prison Architect - Perfect Storm                                                     | -30%       | $9.99            | $6.99              |
| Dragonspire                                                                          | -30%       | $19.99           | $13.99             |
| FOREWARNED                                                                           | -25%       | $12.99           | $9.74              |
| OCTOPATH TRAVELER II                                                                 | -25%       | $59.99           | $44.99             |
| OXENFREE II: Lost Signals                                                            | -25%       | $19.99           | $14.99             |
| Insect Swarm                                                                         | -25%       | $9.99            | $7.49              |
| STASIS: BONE TOTEM                                                                   | -25%       | $19.99           | $14.99             |
| Alina of the Arena                                                                   | -25%       | $14.99           | $11.24             |
| Geometry Arena 2                                                                     | -22%       | $5.99            | $4.67              |
| Empires of the Undergrowth                                                           | -20%       | $19.99           | $15.99             |
| Yao-Guai Hunter                                                                      | -20%       | $15.99           | $12.79             |
| V Rising                                                                             | -20%       | $19.99           | $15.99             |
| Goobies                                                                              | -20%       | $5.99            | $4.79              |
| Time Wasters                                                                         | -20%       | $4.99            | $3.99              |
| Yet Another Zombie Survivors                                                         | -20%       | $9.99            | $7.99              |
| LEGO® 2K Drive                                                                       | -20%       | $59.99           | $47.99             |
| Prison Architect - Gangs                                                             | -20%       | $5.99            | $4.79              |
| Prison Architect - Second Chances                                                    | -20%       | $5.99            | $4.79              |
| Weird RPG                                                                            | -20%       | $10.99           | $8.79              |
| Isle of Arrows                                                                       | -20%       | $12.99           | $10.39             |
| Prison Architect - Future Tech Pack                                                  | -20%       | $2.99            | $2.39              |
| Prison Architect - Undead                                                            | -20%       | $2.99            | $2.39              |
| InfraSpace                                                                           | -20%       | $24.99           | $19.99             |
| V Rising - Dracula's Relics Pack                                                     | -20%       | $9.99            | $7.99              |
| Ib                                                                                   | -20%       | $12.99           | $10.39             |
| Planet of Lana                                                                       | -20%       | $19.99           | $15.99             |
| Prison Architect - Jungle Pack                                                       | -20%       | $2.99            | $2.39              |
| V Rising + DLC Bundle                                                                | -18%       | $69.96           | $57.56             |
| Touhou: New World - Digital Deluxe Edition                                           | -18%       | $39.97           | $32.60             |
| Roguelike FUN                                                                        | -16%       | $51.97           | $43.40             |
| NeverAwake                                                                           | -15%       | $19.99           | $16.99             |
| Catch & Cook: Fishing Adventure                                                      | -15%       | $9.99            | $8.49              |
| ZED ZONE                                                                             | -15%       | $11.99           | $10.19             |
| Occupy Mars: The Game                                                                | -15%       | $24.99           | $21.24             |
| Testament: The Order of High Human                                                   | -15%       | $34.99           | $29.74             |
| Succubus Prison                                                                      | -10%       | $14.99           | $13.49             |
| Invector: Rhythm Galaxy                                                              | -10%       | $24.99           | $22.49             |
| Gravity Circuit                                                                      | -10%       | $16.99           | $15.29             |
| Elysium Above 履云录                                                                 | -10%       | $24.99           | $22.49             |
| The Texas Chain Saw Massacre                                                         | -10%       | $39.99           | $35.99             |
| Touhou: New World                                                                    | -10%       | $24.99           | $22.49             |
| Total Conflict: Resistance                                                           | -10%       | $29.99           | $26.99             |
| Just Cause Collection                                                                | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $150.18            |
| Multiplayer Party Pack                                                               | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $50.35             |
| Resident Evil 4/5/6                                                                  | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $60.17             |
| Styx Collection                                                                      | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $40.82             |
